"","predNumber","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","Month.13"
"107",74,0.0139963721137304,0.0279273495877907,0.0341188951318175,0.0325710087458108,0.0279273495877907,0.026379463201784,0.0232836904297707,0.0248315768157773,0.026379463201784,0.0217358040437639,0.0217358040437639,0.0232836904297707
"108",173,0.271158866640433,0.0764732408539334,0.232346690139875,0.0994325565303198,0.188146102817309,0.32879143456279,0.112083608025471,0.0928321890317989,0.276937742014762,0.273579746864814,0.0129837046467838,0.160579305423552
"109",272,0.22131289127871,0.164582439898952,0.258228793698292,0.0656741311890257,0.139177063846278,0.329100748900251,0.122075710386872,0.00614826626301856,0.27483683888483,0.202484958864269,0.0623031913244314,0.182670409904092
"110",371,0.0504201680672268,0.0336134453781511,0.0170868347338935,0.00252100840336124,0.00980392156862749,0.0198879551820729,0.0285714285714287,0.0355742296918768,0.0414565826330533,0.0462184873949581,0.050420168067227,0.0537815126050421
"111",470,0.0925714285714285,0.0891428571428571,0.0857142857142857,0.0825142857142857,0.0793142857142857,0.0765714285714286,0.0738285714285714,0.0715428571428572,0.0694857142857143,0.0674285714285715,0.0658285714285715,0.0644571428571429
"112",668,0.0536101336294953,0.0560417622686796,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164
"113",767,1.29976532119276,1.30654961597248,1.30688464287518,1.30696839960086,1.30696839960086,1.30696839960086,1.30696839960086,1.30696839960086,1.30696839960086,1.30696839960086,1.30696839960086,1.30696839960086
"114",866,0.0116188080224597,0.0078725748248189,0.00849694702442579,0.00818476092462243,0.00756038872501554,0.00724820262521219,0.00724820262521219,0.00724820262521219,0.00693601652540883,0.00693601652540883,0.00693601652540883,0.00693601652540883
"115",965,0.281363496059659,0.281363496059659,0.281363496059659,0.281363496059659,0.281363496059659,0.281363496059659,0.281363496059659,0.425090796847727,0.425090796847727,0.425090796847727,0.425090796847727,0.425090796847727
"116",1064,0.0285924467701036,0.0267233283334326,0.0259222775748592,0.0253882437358104,0.025121226816286,0.025121226816286,0.025121226816286,0.025121226816286,0.025121226816286,0.025121226816286,0.025121226816286,0.025121226816286
"117",1163,0.0416261525761781,0.0473132645472928,0.049967250133813,0.0513574330600855,0.0519893343902094,0.052242094922259,0.0523684751882837,0.0524948554543085,0.0524948554543085,0.0524948554543085,0.0524948554543085,0.0524948554543085
"118",76,0.00123637781096164,0.00126578765229575,0.00127043131145373,0.00127197919783968,0.00127197919783968,0.00127197919783968,0.00127197919783968,0.00127197919783968,0.00127197919783968,0.00127197919783968,0.00127197919783968,0.00127197919783968
"119",175,0.21958396578276,0.0227516111814963,0.342337430811858,0.215595760845369,0.018401836068657,0.3371091104563,0.214838259613869,0.0130837088660655,0.332403231671746,0.214213516330158,0.00787491173812354,0.33212287812318
"120",274,0.151148011267861,0.0370046987308784,0.223035359331472,0.164639992530787,0.0300161648652561,0.225503545056719,0.164080909821537,0.0309781159973475,0.223483447679327,0.166029477499363,0.0305423603563147,0.223483447679327
"121",373,0.0539215686274509,0.0418683473389354,0.0778935574229692,0.093829131652661,0.140801120448179,0.168515406162465,0.151490196078431,0.142871148459384,0.127019607843137,0.121042016806723,0.131621848739496,0.165310924369748
"122",472,0.0770285714285714,0.07864,0.0794971428571429,0.0803474285714286,0.0811977142857143,0.0820479999999999,0.0828982857142858,0.0837485714285715,0.0845988571428571,0.0854491428571428,0.0862994285714285,0.0871497142857143
"123",670,0.0686862311924376,0.0784127457491745,0.00183099934390521,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164,0.0565280879965164
"124",769,1.35819066275499,0.990249125753579,1.45601349294048,1.68967465596108,2.02600313818025,1.27770463721708,1.33098899095735,1.32719481128425,1.32746450794092,1.32744524389402,1.32744691902853,1.32744691902853
"125",868,0.00491929432067898,0.00534698927740962,0.00549059488331915,0.00554054465928757,0.00555615396427784,0.00556239768627391,0.00556551954727186,0.00556551954727186,0.00556551954727186,0.00556551954727186,0.00556551954727186,0.00556551954727186
"126",967,0.18328387102004,0.230417802040479,0.26739165016821,0.299583690998721,0.329523525025884,0.35840265157323,0.38678448165985,0.414930598973178,0.44296460899189,0.470948314455327,0.498903274458607,0.526412679829443
"127",1066,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878,0.0360689205167878
"128",1165,0.00908266536360184,0.0122282701849584,0.0153751388089752,0.0185207436303319,0.0216663484516885,0.024811953273045,0.0279575580944017,0.0311044267184185,0.0342500315397751,0.0373956363611316,0.0405412411824883,0.0432836929552259
"129",77,0.000895244494314549,0.00108448671420528,0.00443855681535643,0.00506066992396946,0.00368357958318078,0.00342286035533523,0.002425764017411,0.000891632622364433,0.00161690030863597,0.00154823329035974,0.000490988547583764,0.000314302770940918
"130",176,0.247261195547159,0.260703199754915,0.190374111113979,0.204257231069685,0.241890943065077,0.220069412574452,0.203191603969054,0.221164177525309,0.224665907493212,0.211538017080155,0.212745238095151,0.219449063535364
"131",275,0.190292675615878,0.190044729982464,0.18979678434905,0.189548838715635,0.189300893082221,0.189052947448807,0.188805001815393,0.188557056181978,0.188309110548564,0.18806116491515,0.187813219281736,0.187565273648321
"132",374,0.0182400389355742,0.0294333507002802,0.0316017722689076,0.0262604565826331,0.0153636162464987,0.00201812661064427,0.0109263658263305,0.0210535308123248,0.0269510848739495,0.0282230016806721,0.0254480733893556,0.0198803862745097
"133",473,0.00311946011428566,0.00343746971428573,0.00375547954285707,0.00407348914285714,0.0043914987428572,0.0047095083428571,0.00502751794285717,0.00534552754285707,0.00566353737142858,0.00598154697142864,0.00629955657142854,0.0066175661714286
"134",572,0.0102816355093104,0.0111777125080001,0.0158066131332332,0.0146542849712355,0.0187256347612306,0.0168118943031607,0.0133816446910835,0.0195231132968958,0.0133594483262982,0.0164765683830074,0.0204477209720245,0.0134350546356823
