"","domain","MASE_med"
"1","posaffect",0.790738562994245
"2","igend",0.923881218830495
"3","iasian",0.990305371842467
"4","egend",1.20857283829846
"5","easian",1.5182503506763
"6","eafric",1.57793509567089
"7","lifesat",2.00610608754364
"8","polar",2.26004464314541
"9","negaffect",2.43965502191703
"10","ideoldem",2.6122897716765
"11","iafric",3.00998859546363
"12","ideolrep",3.332466598539
