"","contrast","domain","ratio","SE","df","null","t.ratio","p.value"
"1","Benchmark 2 / MASE1_w2","eafric",3.41766541845389,0.423587175088627,649.445084719551,1,9.91570673289543,0.00000000000000000000112492356646533
"2","Benchmark 2 / MASE1_w2","easian",4.58618489240572,0.534616135035149,649.445084719643,1,13.0654156596731,0.0000000000000000000000000000000000837313257481515
"3","Benchmark 2 / MASE1_w2","egend",1.41740721456473,0.165228568973816,649.445084719643,1,2.99241932450888,0.00287276600053942
"4","Benchmark 2 / MASE1_w2","iafric",2.72017746222982,0.311166283239031,649.445084719643,1,8.74797143342806,0.0000000000000000185912258765813
"5","Benchmark 2 / MASE1_w2","iasian",3.71225407058004,0.402860086164152,649.445084719643,1,12.0864248980136,0.0000000000000000000000000000017723458332269
"6","Benchmark 2 / MASE1_w2","ideoldem",0.784119235208139,0.0896968934651566,649.445084719643,1,-2.12597371623003,0.0338820703805195
"7","Benchmark 2 / MASE1_w2","ideolrep",1.60683260232596,0.183808643221096,649.445084719643,1,4.14596567291155,0.0000383275070047721
"8","Benchmark 2 / MASE1_w2","igend",3.47566125876815,0.390423188505598,649.445084719643,1,11.0903397236911,0.0000000000000000000000000270427383904638
"9","Benchmark 2 / MASE1_w2","lifesat",3.23971356665342,0.283925811164312,649.445084719643,1,13.4127800105984,0.00000000000000000000000000000000000219439112225875
"10","Benchmark 2 / MASE1_w2","negaffect",1.37064705618958,0.133937427139958,649.445084719643,1,3.22644410912955,0.00131635166858179
"11","Benchmark 2 / MASE1_w2","polar",0.940356114571706,0.0972999370804555,649.445084719643,1,-0.594334733852148,0.552495229665928
"12","Benchmark 2 / MASE1_w2","posaffect",2.7695533760926,0.270636304105787,649.445084719643,1,10.4247117060038,0.000000000000000000000012404112454052
