"","contrast","domain","ratio","SE","df","null","t.ratio","p.value"
"1","Benchmark 1 / MASE1_w2","eafric",4.38651065680421,0.543666342405896,649.445084720876,1,11.9293856499252,0.0000000000000000000000000000083807136932717
"2","Benchmark 1 / MASE1_w2","easian",2.01262418133287,0.234613602885419,649.44508472063,1,6.00011550805247,0.00000000327663105632139
"3","Benchmark 1 / MASE1_w2","egend",1.42440191572797,0.166043948246968,649.44508472063,1,3.03464869714501,0.00250439187606927
"4","Benchmark 1 / MASE1_w2","iafric",2.54208756004356,0.290794239976205,649.44508472063,1,8.1560457736898,0.00000000000000179128732807066
"5","Benchmark 1 / MASE1_w2","iasian",1.85583752501234,0.201398624938074,649.44508472063,1,5.69781109222665,0.0000000184102822249646
"6","Benchmark 1 / MASE1_w2","ideoldem",0.776868353740101,0.0888674513176671,649.44508472063,1,-2.20718739443272,0.0276499431742132
"7","Benchmark 1 / MASE1_w2","ideolrep",1.87607014981149,0.21460723931442,649.44508472063,1,5.50020773190942,0.0000000546007913328198
"8","Benchmark 1 / MASE1_w2","igend",1.71893918963091,0.19308950708936,649.44508472063,1,4.8224370544551,0.00000176828368257554
"9","Benchmark 1 / MASE1_w2","lifesat",1.6041472221104,0.140586132661305,649.44508472063,1,5.3924778652515,0.0000000974090922973462
"10","Benchmark 1 / MASE1_w2","negaffect",1.47359254216681,0.143997094554588,649.44508472063,1,3.96755733761619,0.000080700142196265
"11","Benchmark 1 / MASE1_w2","polar",0.935086657708169,0.0967546991508805,649.44508472063,1,-0.648643879279432,0.516797871636033
"12","Benchmark 1 / MASE1_w2","posaffect",1.84052288958827,0.17985293829746,649.44508472063,1,6.24293640325459,0.000000000775587954439619
