"","domain","MASE_med"
"1","egend",1.0866569818595
"2","igend",1.20513478362034
"3","posaffect",1.30082375553485
"4","iasian",1.57900508551979
"5","polar",1.86188046678249
"6","easian",2.93512415848252
"7","ideoldem",3.10520199877338
"8","lifesat",3.55181158260394
"9","negaffect",4.17344346116834
"10","eafric",4.36014837445292
"11","iafric",5.48506693630486
"12","ideolrep",5.60409092792215
